ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
SVK,0,152.029220581055,0,0,30148.783203125,0
LBY,16471910,13965.740234375,0,397249.875,18447.115234375,96.6183395385742
MDG,1093855.375,1305.92919921875,0,52665.37109375,420.983581542969,736.591613769531
MTQ,0,363.183471679688,0,0,255.807647705078,0
MNG,0,119.117088317871,0,16056.8876953125,1823.28735351563,0
MSR,0,0,0,0,0,0
MKD,0,0,0,0,4686.767578125,0
MLI,3092641,0,0,0,5350.8173828125,0
MAR,5394756,2980.27490234375,0,231771.5625,20458.8046875,15496.5546875
MUS,11464.34375,0,0,0,0,1573.08166503906
MRT,1335764.25,0,0,0,290.709381103516,28268.578125
MLT,0,48.0744743347168,0,0,924.005065917969,0
OMN,4945855.5,8407.6494140625,0,0,502.960998535156,2460.8779296875
MDV,0,0,0,0,0,0
MEX,10797592,42896.25,34.9923973083496,872025.6875,104254.6328125,5684.0859375
MYS,0,0,0,0,11384.9453125,0
MOZ,1769608.375,3890.06298828125,0,0,5409.775390625,0
MWI,447865.375,0,0,0,9114.4296875,0
NCL,0,0,0,0,65.0448455810547,0
NIU,0,0,0,0,0,0
NER,3668651.5,0,0,290.033752441406,797.933837890625,0
ABW,0,47.1731758117676,0,0,461.499572753906,0
BEL,0,6204.5009765625,0,0,70926.4375,10060.6142578125
HKG,0,0,0,0,3264.49731445313,0
FRO,0,137.147598266602,0,0,0,74.2150573730469
GIB,0,0,0,0,30.5032768249512,41.993278503418
LUX,0,57.0092811584473,0,0,2736.34765625,0
MAC,0,0,0,0,57.0913734436035,0
PSE,35105.109375,0,0,0,292.745361328125,0
MNE,0,0,0,0,1451.23742675781,0
VUT,0,0,0,0,0,429.477661132813
NGA,4416991,0,0,0,21194.3046875,0
NLD,0,9383.5634765625,0,0,55943.078125,79435.9453125
NOR,0,22339.2421875,350.221801757813,0,12399.775390625,112545.59375
NPL,4794.0419921875,0,0,741.32958984375,2135.2255859375,0
NRU,0,0,0,0,0,0
SUR,9208.39453125,0,0,0,0,0
NIC,193643.375,10666.4306640625,0,0,218.306427001953,10820.70703125
NZL,0,111760.8046875,4.81860017776489,45.8695755004883,3415.43505859375,341731.78125
PRY,1196.00158691406,0,0,0,55.4354209899902,0
PER,1928103.625,10511.125,28.9589996337891,3238.0234375,12440.3203125,54954.6640625
PAK,1777924,19234.38671875,0,1441.00915527344,43237.203125,0
POL,0,21516.787109375,0,0,140769.265625,25229.70703125
PAN,947.175659179688,150.481048583984,0,0,1186.30639648438,0
PRT,35.6695861816406,838.604125976563,0,598.310363769531,34999.45703125,1127.75378417969
PNG,3193.8828125,0,0,0,1169.60778808594,902.187072753906
GNB,0,0,0,0,933.0400390625,0
QAT,351065.0625,0,0,0,3005.888671875,0
ROU,0,480.305877685547,0,0,169238.40625,0
MDA,0,0,0,0,2583.91552734375,0
PHL,0,6562.47265625,0,0,12538.177734375,3483.12060546875
PRI,4030.41357421875,0,0,0,1405.50561523438,0
RUS,0,254826.296875,213.37060546875,0,78885.46875,41030.2734375
RWA,78204.390625,0,0,0,945.812805175781,0
SAU,23812980,101.480827331543,0,59989.7109375,28372.689453125,2838.46435546875
KNA,0,0,0,0,0,0
SYC,0,0,0,0,0,0
ZAF,18974108,66016.4375,0,1066778,159619.59375,19888.37890625
LSO,82473.4765625,0,0,0,1068.39331054688,0
BWA,2259559.75,0,0,359891.53125,2224.0498046875,0
SEN,1123033,0,0,0,12944.935546875,0
SVN,0,46.5900115966797,0,0,6341.6865234375,0
SLE,75422.15625,0,0,0,1579.5576171875,0
SGP,0,0,0,0,2505.125,0
SOM,401711.78125,6178.7431640625,0,181.371810913086,1387.70837402344,1740.00500488281
ESP,23863.103515625,19980.994140625,0,17600.810546875,108970.578125,61564.77734375
LCA,0,7.21203994750977,0,0,196.806686401367,0
SDN,10072703,707.840515136719,0,0,86615.296875,24.1242694854736
SWE,0,36455.6484375,81.4825973510742,0,47001.7265625,60246.90625
SYR,3199103,2943.6123046875,0,173985.53125,679.278625488281,0
CHE,0,0,0,0,30832.4609375,0
TTO,1300.08630371094,0,0,0,118.437301635742,0
THA,7318.81591796875,0,0,0,42809.984375,0
TJK,38994.4609375,2439.45751953125,0,645.16064453125,4.05762577056885,0
TON,0,0,0,0,0,0
TGO,594037.0625,0,0,0,1164.06896972656,0
STP,0,0,0,0,1.80071747303009,0
TUN,1836219.5,6639.17529296875,0,86757.46875,63519.4921875,0
TUR,263062.4375,10619.92578125,52.9511947631836,37340.5234375,135822.84375,3671.80395507813
TKM,74786.9921875,58865.1484375,0,0,327.402526855469,832.459045410156
TZA,4420198,84.5147094726563,0,0,31713.353515625,0
UGA,4223987,0,0,0,4606.03564453125,0
GBR,0,304128,0,0,212630.234375,378641.5
UKR,0,28355.314453125,0,0,48693.47265625,0
USA,6892283,2622335.25,69.3247985839844,4172174,2429724.75,343883.375
BFA,1253174.125,0,0,0,1701.0947265625,0
URY,3345.04760742188,14584.4140625,0,4213.8701171875,7103.904296875,4662.658203125
UZB,50188.3515625,5609.1064453125,0,9804.77734375,2597.83935546875,0
VCT,0,0,0,0,0,618.442138671875
VEN,2065842,23285.708984375,0,0,13794.69140625,83635.984375
VGB,0,0,0,0,0,0
VNM,14002.6328125,5899.28515625,0,0,872.36279296875,14877.6806640625
VIR,0,0,0,0,20.1525955200195,0
NAM,12155594,10792.126953125,0,309222,2022.90905761719,63372.125
WSM,0,0,0,0,0,0
SWZ,18668.958984375,0,0,0,647.70947265625,0
YEM,1446510.75,3519.55346679688,0,0,4078.8896484375,2874.84741210938
ZMB,6328853,0,0,408.818206787109,6423.9951171875,0
ZWE,4525710,0,0,109944.96875,15456.5546875,0
IDN,71279.984375,0,0,0,35004.2421875,0
GLP,5554.72900390625,470.639739990234,0,0,39.1094589233398,0
ANT,0,250.671401977539,0,0,830.167724609375,0
ARE,2024772.625,0,0,0,7382.412109375,0
SPM,0,0,0,0,0,2.52337408065796
SHN,0,0,0,0,0,457.337249755859
TCA,0,0,0,0,0,0
SRB,0,29.208776473999,0,0,32250.8515625,0
TWN,0,1037.26062011719,23.1609992980957,0,13692.8427734375,82492.84375
