ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ISL,0,124996.3671875,3818.9619140625,0,0,566047.5625
IND,84042952,342746.25,93524.921875,18676370,200411.6875,25350.177734375
IRN,35337660,327448.3125,6811.2490234375,2854357,56705.47265625,0
ISR,501957.53125,1904.13745117188,0,25530.87109375,3227.23168945313,0
ITA,2363490.25,77340.5859375,687.285949707031,9320.5068359375,162089.546875,61.2834510803223
CIV,10166370,0,48.3162002563477,123570.0859375,3980.986328125,0
IRQ,12685410,3009.69067382813,1649.49450683594,1442694.375,31879.255859375,0
JPN,1134534.625,145135.53125,1109.93444824219,0,22093.720703125,529994.625
JAM,114176.4765625,2791.52221679688,0,5646.14404296875,438.369476318359,9885.4052734375
JOR,2809979,26193.98046875,0,301914.5625,939.986877441406,0
KEN,10019071,74493.0625,75.4658050537109,657029.125,6909.54296875,0
KGZ,1066888.25,917.205871582031,3018.341796875,25779.064453125,2080.90869140625,0
PRK,462842.78125,13674.7099609375,84.6287994384766,0,54.3380393981934,0
KIR,0,0,0,0,0,0
KOR,355295.84375,11784.3515625,0,0,3249.53662109375,0
KWT,583290.375,9079.1875,0,45503.5625,5418.30078125,0
KAZ,21343728,3967591.5,1561.20825195313,1062278.375,23596.119140625,4577.71337890625
LAO,1605028.625,4872.3095703125,6578.05908203125,7110.22802734375,2053.3779296875,0
LBN,36929.99609375,577.177001953125,0,2404.27270507813,5738.98291015625,0
LVA,0,144176.4375,44.1959991455078,0,9421.6923828125,48841.984375
BLR,270.103179931641,66738.796875,29.3164024353027,0,12310.6181640625,0
LTU,0,94762.40625,94.1748046875,0,24113.412109375,14323.00390625
LBR,1353760.625,0,644.718383789063,1856.23608398438,61.1459884643555,0
SVK,2976.8134765625,7910.66845703125,0,0,30148.78515625,0
LBY,34312864,380963.59375,0,2459893.75,18447.1171875,96.6183395385742
MDG,6179363,84165.921875,1652.55651855469,277406.90625,420.983551025391,3343.48828125
MTQ,9349.779296875,722.72119140625,0,0,255.807647705078,0
MNG,12226410,354000.90625,401.643585205078,1460532.5,1823.287109375,0
MSR,0,0,0,0,0,0
MKD,133783.328125,950.244995117188,26.5268020629883,571.670532226563,4686.7666015625,0
MLI,19295874,0,197.958801269531,2168684.25,5350.81591796875,0
MAR,9014996,148175.984375,0,759681.5,20458.8046875,114245.3984375
MUS,44754.34375,0,0,2815.537109375,0,7005.3701171875
MRT,13149645,57825.1640625,0,624408.1875,290.709381103516,194859.515625
MLT,737.106262207031,66.1036911010742,0,0,924.005004882813,0
OMN,8997530,207603.375,0,1414499.25,502.960998535156,44925.3359375
MDV,0,0,0,0,0,0
MEX,34684940,397576.15625,3305.81274414063,3902792.5,104254.6171875,27764.19921875
MYS,4263087,454.183074951172,2439.06494140625,31313.19140625,11384.9453125,0
MOZ,16254744,63415.4921875,5003.26123046875,763011.9375,5409.7734375,0
MWI,2304484,7251.70263671875,364.511444091797,220831.5625,9114.4296875,0
NCL,63190.84765625,0,0,483.813201904297,65.0448455810547,0
NIU,0,0,0,0,0,0
NER,22929422,15970.1220703125,0,1925006.25,797.933715820313,0
ABW,0,94.3480758666992,0,0,461.499603271484,10.8101806640625
BEL,9498.6767578125,17103.611328125,0,0,70926.3671875,10140.662109375
HKG,0,3.43232846260071,0,0,3264.4970703125,0
FRO,0,589.73095703125,0,0,0,236.08332824707
GIB,0,0,0,0,30.5032787322998,41.993278503418
LUX,2203.33129882813,1804.45068359375,0,0,2736.34716796875,0
MAC,0,0,0,0,57.0913734436035,0
PSE,92872.21875,50.4479637145996,0,2182.81518554688,292.745361328125,0
MNE,27712.42578125,769.224060058594,476.133422851563,0,1451.23754882813,0
VUT,0,0,0,0,0,1641.96838378906
NGA,24361422,1629.03662109375,485.320617675781,3656273.75,21194.30078125,0
NLD,105729.65625,43589.1953125,0,0,55943.078125,168248.46875
NOR,46.9835929870605,185073.28125,9362.3046875,0,12399.7734375,942788.625
NPL,960103.375,0,11401.8564453125,78422.3359375,2135.2255859375,0
NRU,0,0,0,0,0,0
SUR,707410.9375,0,477.352600097656,19558.380859375,0,0
NIC,952708.875,38956.33203125,0,73237.3515625,218.306457519531,23288.5859375
NZL,1863563.25,209810.59375,3119.36352539063,80173.796875,3415.43481445313,1762678.25
PRY,4670676.5,8313.2158203125,649.965087890625,81771.25,55.4354209899902,0
PER,4341382,44270.61328125,21761.64453125,373625.0625,12440.3203125,171467.0625
PAK,17061594,139326.96875,27274.759765625,3410576,43237.2421875,0
POL,3906.55249023438,271218.75,49.2633972167969,0,140769.25,62622.76953125
PAN,484344.125,3888.53515625,596.907348632813,16415.1171875,1186.30651855469,0
PRT,1587291.875,17657.044921875,192.607208251953,26238.0546875,34999.48046875,26074.44140625
PNG,213109.84375,923.935791015625,5454.52685546875,6294.7890625,1169.60766601563,12591.447265625
GNB,100810.0234375,0,0,0,933.0400390625,0
QAT,372171.5,704.956420898438,0,28312.0546875,3005.88891601563,0
ROU,2046957.375,27993.142578125,166.522811889648,1772.705078125,169238.40625,0
MDA,323352.375,15932.12109375,0,626.408630371094,2583.916015625,0
PHL,2545545.75,27019.953125,86.0788040161133,196684.515625,12538.1767578125,33521.12890625
PRI,70848.1171875,1165.126953125,0,1279.48693847656,1405.50549316406,0
RUS,9056300,5685602.5,31209.9453125,1490397.75,78885.453125,724644.5
RWA,303031.46875,0,0,4407.11767578125,945.812622070313,0
SAU,53322816,221920.9375,0,4084014.25,28372.66015625,9533.5478515625
KNA,0,0,0,0,0,0
SYC,0,0,0,0,0,172.029052734375
ZAF,33236424,995125.5625,961.318176269531,3352523,159619.40625,871092
LSO,148427.71875,553.544006347656,89.6092071533203,399.311065673828,1068.39331054688,0
BWA,10764112,36603.3046875,50.7453994750977,1335567.25,2224.0498046875,0
SEN,4426490,0,0,1078353.625,12944.93359375,0
SVN,51627.5546875,803.404724121094,137.17578125,0,6341.6875,0
SLE,1118614,0,44.1931953430176,13012.9267578125,1579.55749511719,0
SGP,1367.61535644531,0,0,0,2505.12426757813,0
SOM,10166911,206303.671875,0,435564.15625,1387.70849609375,99488.578125
ESP,8668123,146552.078125,913.170776367188,375936.3125,108970.453125,391140.46875
LCA,1194.90063476563,119.065856933594,0,0,196.806686401367,0
SDN,37332928,66213.7578125,4256.72314453125,5173285,86615.3828125,24.1242694854736
SWE,0,575758.6875,4671.25732421875,0,47001.70703125,158534.03125
SYR,6190647,55476.65625,63.4559936523438,676086.125,679.278686523438,96.0431671142578
CHE,37236.1328125,1394.44836425781,857.224243164063,41.3250312805176,30832.47265625,0
TTO,111905.21875,2683.8876953125,0,993.320556640625,118.437301635742,0
THA,9705700,7166.6953125,443.792785644531,122553.9375,42810.0234375,0
TJK,696427.125,6874.5166015625,3419.78198242188,21410.32421875,4.05762577056885,0
TON,0,0,0,0,0,0
TGO,1886695.125,0,0,332169.65625,1164.06909179688,0
STP,4788.06787109375,0,0,0,1.80071747303009,0
TUN,4126524.5,53870.421875,0,357946,63519.47265625,0
TUR,9525606,86414.5546875,5351.314453125,306476.875,135822.65625,10782.6982421875
TKM,8528276,162007.515625,2212.24658203125,774932.75,327.402526855469,929.369140625
TZA,17718494,77471.7421875,2020.96362304688,1792332.125,31713.3359375,0
UGA,6559661.5,3.71745824813843,1676.37438964844,970665.3125,4606.03466796875,0
GBR,257311.109375,403015.96875,198.220596313477,0,212629.03125,822835.5
UKR,1417907.375,532348.5625,226.887390136719,119939.078125,48693.4296875,0
USA,149307920,7989439,24444.0703125,13625208,2429724.75,1779605.375
BFA,8139134,0,0,1391063.25,1701.09509277344,0
URY,4056249,204388.953125,17.5419998168945,189442.78125,7103.90576171875,196889.734375
UZB,6827798,222893.09375,436.682189941406,541655.0625,2597.83935546875,0
VCT,0,10.8501644134521,0,0,0,969.098510742188
VEN,11147449,210178.703125,7725.6494140625,1375848.875,13794.6865234375,176819.8125
VGB,0,0,0,0,0,0
VNM,3170334,50884.34765625,71.9697952270508,27744.08984375,872.36279296875,100078.3984375
VIR,0,0,0,0,20.1525936126709,0
NAM,25664112,290226.21875,748.111999511719,2281460.75,2022.90905761719,404267
WSM,0,0,0,0,0,0
SWZ,352904.09375,2127.44165039063,2.87819981575012,8513.83203125,647.70947265625,0
YEM,7932699,33675.4765625,0,413694.0625,4078.88891601563,17860.08984375
ZMB,19701516,144470.796875,3967.37377929688,1965325.5,6423.99658203125,0
ZWE,11735228,101347.7890625,612.278991699219,814534.25,15456.5546875,0
IDN,6570330,2818.87524414063,4720.98583984375,347287.125,35004.23046875,0
GLP,27786.4140625,841.608032226563,0,968.95361328125,39.1094589233398,0
ANT,2717.81396484375,726.496337890625,0,927.733276367188,830.167724609375,0
ARE,2374102.25,676.145568847656,0,200886.875,7382.412109375,0
SPM,0,255.347091674805,0,0,0,187.453979492188
SHN,0,0,0,0,0,490.430328369141
TCA,3594.09643554688,186.219055175781,0,0,0,0
SRB,822683.1875,5309.07861328125,235.579406738281,0,32250.87109375,0
TWN,97521.7734375,3173.16723632813,2169.74755859375,0,13692.83984375,245635.625
