ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
MTQ,0,0.25337721678756,0,0,0.228875746704723,0
MNG,0,0.516472597778811,0,0.251564841112123,0.210337236126425,0
MSR,0,0,0,0,0,0
MKD,0,0,0,0,0.180848190558694,0
MLI,0.236842692379932,0,0,0,0.23017682053143,0
MAR,0.245423079908843,0.445735251949474,0,0.239560192733517,0.227300937199587,0.584581847313282
MUS,0.210873516769616,0,0,0,0,0.531486295729728
MRT,0.237206826109859,0,0,0,0.242600132648266,0.610454842640194
MLT,0,0.406008564848397,0,0,0.215756982775052,0
OMN,0.259527194031447,0.518362268042315,0,0,0.250167027577333,0.567358959462817
MDV,0,0,0,0,0,0
MEX,0.253814112540113,0.454312812465779,0.500000009507704,0.298250323479141,0.241782223148887,0.561664987105857
MYS,0,0,0,0,0.181576324957017,0
MOZ,0.217638478844702,0.361633049825579,0,0,0.214499110470159,0
MWI,0.223460203127408,0,0,0,0.220855073279063,0
NCL,0,0,0,0,0.190999197480453,0
NIU,0,0,0,0,0,0
NER,0.247805795452729,0,0,0.235459551191932,0.242238858678751,0
ABW,0,0.667328280331396,0,0,0.239074880472097,0
BEL,0,0.466152310504724,0,0,0.132370268817936,0.560565144020494
HKG,0,0,0,0,0.155067228963617,0
FRO,0,0.588041506577799,0,0,0,0.64821393787014
GIB,0,0,0,0,0.206715407167501,0.529319198748484
LUX,0,0.464791476073041,0,0,0.135302717520912,0
MAC,0,0,0,0,0.159867447014965,0
PSE,0.241379373713132,0,0,0,0.241053428810244,0
MNE,0,0,0,0,0.181019782018234,0
VUT,0,0,0,0,0,0.549110965731723
NGA,0.223832742087529,0,0,0,0.195540641993778,0
NLD,0,0.522267343250134,0,0,0.130457295040052,0.567764773610018
NOR,0,0.453302721032886,0.50000000270565,0,0.126290014043573,0.591681690099819
NPL,0.172731979002283,0,0,0.100226817999611,0.199105781577528,0
NRU,0,0,0,0,0,0
SUR,0.207593996282849,0,0,0,0,0
NIC,0.230270723178627,0.459903326158304,0,0,0.223442046910198,0.604611358161266
NZL,0,0.443309451315248,0.499999999322208,0.21595095088587,0.16921276703558,0.630329866181287
PRY,0.210045478848891,0,0,0,0.209471898614619,0
PER,0.248469549591457,0.474474191320774,0.500000013714098,0.295212244481064,0.217486765201091,0.680305725465278
PAK,0.254920430054902,0.462262092568507,0,0.260633240580267,0.21542622380851,0
POL,0,0.472969138188558,0,0,0.136536432494679,0.569064318091922
PAN,0.215020818743355,0.182915650558082,0,0,0.19209026574772,0
PRT,0.216111406866348,0.434255852934091,0,0.230320113612449,0.199402741162571,0.508382770822923
PNG,0.202274478952931,0,0,0,0.200603764652242,0.591897384784889
GNB,0,0,0,0,0.222288082851454,0
QAT,0.246822598211635,0,0,0,0.24458808906966,0
ROU,0,0.409595401403607,0,0,0.162000556429461,0
MDA,0,0,0,0,0.160546242201905,0
PHL,0,0.418599039226808,0,0,0.192631915698986,0.578380409308299
PRI,0.229222116910404,0,0,0,0.215476983020476,0
RUS,0,0.470999611224841,0.49999999895506,0,0.146879317816267,0.546438932388248
RWA,0.198261976772811,0,0,0,0.19938458507803,0
SAU,0.25785515179548,0.689605485095066,0,0.261879185205143,0.252534055027538,0.658756501807921
KNA,0,0,0,0,0,0
SYC,0,0,0,0,0,0
ZAF,0.251816567837492,0.416574789599088,0,0.295750391326878,0.230546947157996,0.563237064163057
LSO,0.247592227609653,0,0,0,0.245827350481272,0
BWA,0.246974422712293,0,0,0.266159199902352,0.247064721939781,0
SEN,0.23308517015933,0,0,0,0.230630276459558,0
SVN,0,0.370760295254155,0,0,0.157293821026356,0
SLE,0.200611604993083,0,0,0,0.201583773498849,0
SGP,0,0,0,0,0.172211088273605,0
SOM,0.254123504074981,0.433976297604957,0,0.279299815357536,0.240935719810024,0.61240868566005
